postcode,long,lat
DH1 5YB,-1.558802,54.80536
DT11 8ST,-2.156588,50.87555
EX1 2LS,-3.517161,50.72413
EX31 1DX,-4.065455,51.081265
PL5 2TX,-4.189378,50.414636
AB11 6LT,-2.09285107176287,57.1391580904836
PO30 5NX,-1.31356459851301,50.6910841942379
PH33 6SW,-5.047579,56.848718
SP4 0HQ,-1.692376,51.16561
DN5 8UX,-1.145003,53.525178
NR3 1SL,1.301003,52.635274
B33 0NL,-1.768443,52.475529
PO21 3LR,-0.722174,50.783824
EX2 6AR,-3.511354,50.712272
WC1B 4AD,-0.122152,51.519206
CR9 1TR,-0.104337254295533,51.3756640996564
M3 5BA,-2.252206,53.483519
YO1 9PG,-1.076661,53.956607
FK15 0JY,-3.952985,56.200869
SO40 4ZG,-1.440258,50.892497
PL1 3QS,-4.161626,50.366208
BS11 9DX,-2.702119,51.500479
NE4 7YJ,-1.64450018250951,54.9739446147022
WR1 2EE,-2.215886,52.194182
BS1 6EZ,-2.585601,51.452286
CF14 5DX,-3.185868,51.527076
YO10 4AS,-1.068375,53.944095
G1 1HY,-4.246366,55.860073
BT30 8DQ,-5.803408,54.260181
CF14 5SH,-3.196591,51.527543
CF24 0HA,-3.16250743166824,51.4875461687088
LL13 7YY,-3.011276,53.050911
LE1 4AA,-1.136573,52.638087
DY5 1LX,-2.119688,52.486146
NE6 5TL,-1.565966,54.991736
SP9 7DX,-1.675502,51.232617
HU9 5PW,-0.277589,53.744969
NG9 2HF,-1.209318,52.930059
GU11 2BX,-0.75254,51.259421
TA2 6PF,-3.154403,51.038916
SN5 7XQ,-1.817428,51.560588
ML10 6RF,-4.131188,55.609779
PO1 3ND,-1.095352,50.803681
BS1 6RD,-2.585601,51.452286
BS1 6DG,-2.582112,51.45073
GU51 4AE,-0.846216,51.279456
SO15 1GH,-1.41322,50.909099
GU15 4NP,-0.748582,51.340823
SN6 8BY,-1.655369,51.597584
HU1 1RS,-0.33283,53.742371
DN1 2QL,-1.1282,53.525147
LN8 3RQ,-0.301262,53.388102
GL51 0EX,-2.119853,51.89859
B33 0SD,-1.771284,52.472694
SO1 1EG,NA,NA
SP4 9NA,-1.740824,51.194834
CR0 2UR,-0.105045,51.384015
SP11 8BG,-1.576404,51.1952
LD3 7PN,-3.369656,51.942927
NW3 5LA,-0.176101,51.545955
GU11 2DU,-0.754624,51.250363
CR0 3RR,-0.112794,51.38038
PO2 8DX,-1.099833,50.814921
CR0 2LX,-0.094982,51.37502
E15 1AN,-0.001271,51.539726
PO3 5LG,-1.067234,50.832407
G20 8LQ,-4.286913,55.884397
IP12 3TN,1.388133,52.08193
NE12 9SE,-1.567549,55.010262
NG2 1BB,-1.135601,52.945098
AB11 5PB,-2.088069,57.144449
LL65 1ET,-4.633169,53.315565
YO15 2LX,-0.177649,54.093988
ZE1 0AX,-1.140071,60.149503
BD1 4YL,-1.752448,53.796418
EH11 4AE,-3.2938,55.924084
PL6 5EW,-4.120899,50.414034
B32 1AL,-2.011537,52.451922
CH2 4BD,-2.895113,53.22528
KY11 2XX,-3.41449631718061,56.0486250161527
L3 4DZ,-2.981272,53.387502
TF2 8LR,-2.439639,52.731112
GL20 8LZ,-2.096134,51.999965
EX31 4AZ,-4.141343,51.093047
EH11 4HN,-3.295766,55.923038
IP1 1LW,1.148377,52.054919
L18 6HF,-2.909313,53.381294
BD1 5AX,-1.752439,53.790789
BD1 4XY,-1.752448,53.796418
SA3 4EX,-3.981676,51.56532
CR0 2EZ,-0.095237,51.380978
PE1 1TD,-0.241531,52.57379
SY24 5LJ,-4.051395,52.480502
TF4 2BQ,-2.468252,52.676075
S1 4LA,-1.477059,53.37406
FK7 7RR,-3.925849,56.116472
B91 1QU,-1.801753,52.406768
L2 7SX,-2.98994389655172,53.4069018793103
LS1 4AP,-1.556543,53.79596
BS24 8RA,-2.931495,51.338233
TR11 3XZ,-5.059525,50.1511
BS11 9HW,-2.695065,51.509988
CM1 1AH,0.472197,51.736169
CT16 1JA,1.334821,51.129204
CV1 1DE,-1.511686,52.408338
DA1 1QE,0.235599,51.436213
DA17 5AN,0.146611,51.48999
DE1 0AQ,-1.465616,52.914939
DY10 1AA,-2.25044,52.386978
EH54 6TY,-3.543491,55.896244
EN6 3NG,-0.223996,51.688822
GL1 1AH,-2.224896,51.860834
GU1 1FY,-0.547004,51.257907
KT22 0AD,-0.342838,51.30174
LA7 7AD,-2.775881,54.226858
LL11 0AX,-3.03606699845679,53.0634239891975
LS1 1DN,-1.564095,53.796296
LU7 0DZ,-0.676431,51.939352
ME7 1AA,0.546665,51.386408
NG1 1AJ,-1.135526,52.951121
NN1 1AJ,-0.900389,52.236146
PO14 1AG,-1.21893191836735,50.8386823790088
RG14 1AG,-1.333135,51.406824
RH11 9BB,-0.203654,51.083607
S1 1DA,-1.466765,53.38108
SA31 1AN,-4.305908,51.856571
SN14 0AQ,-2.19897959371728,51.4757828921467
UB4 9LJ,-0.397364,51.52997
CF40 2EP,-3.457582,51.626136
LN5 9WA,-0.529579,53.165907
NW9 5HT,-0.254674,51.594927
IP33 2RX,0.736656,52.237692
EC3 8DY,NA,NA
PO6 3RU,-1.09163,50.857239
SW1A 2HP,-0.126765,51.506196
SA7 0EE,-3.906913,51.668138
BT49 0LP,-6.935126,55.164307
PO2 8EW,-1.090024,50.815715
SW1A 2NS,-0.132303561643836,51.5042760958904
SA1 2HP,-3.932548,51.638808
SO15 4EG,-1.42460233051564,50.9170705401522
SN6 8RF,-1.639796,51.602455
NW3 5LS,-0.175543,51.55234
NE12 8EU,-1.584066,55.018702
PO1 4QT,-1.08959584328358,50.7994931012793
SP4 9DT,-1.759216,51.188893
NG8 3HY,-1.211321,52.962264
DL9 3PE,-1.716488,54.363715
LL13 9QS,-2.929236,53.038311
SW1P 4DP,-0.134037381604696,51.4875759941295
WA4 4FS,-2.63919,53.345237
BT29 4BP,-6.210306,54.624585
PA3 2RB,-4.426779,55.85918
SW1A 2EU,-0.132303561643836,51.5042760958904
SN15 4XX,-1.97012,51.50461
BT2 7NH,-5.93089472413793,54.5937655431034
RH10 8BD,-0.186536,51.119
CF11 9LJ,-3.190205,51.483018
SP11 9LQ,-1.636014,51.240347
OX1 1RX,-1.266519,51.750702
B91 3WG,-1.786246,52.413936
CF14 4JY,-3.195048,51.51542
KT15 1ES,-0.514316,51.361835
TS1 2LP,-1.228621,54.575013
SP4 9NY,-1.731431,51.188846
KW15 1LN,-2.95355,58.987639
TF2 8LF,-2.44077,52.730163
CA28 8PF,-3.560798,54.531466
SY23 1DT,-4.087313,52.414208
GL7 5RD,-1.924417,51.693507
DL1 4WD,-1.503646,54.516941
YO10 4JG,-1.06364,53.941892
G2 2JJ,-4.257244,55.862233
YO19 4HD,-1.01993428232758,53.9057752456897
CT20 3HJ,1.138304,51.077084
PA3 2TD,-4.432074,55.864648
PL6 7AJ,-4.080036,50.439426
CR0 2EW,-0.095156,51.380599
PA27 8DJ,-5.040461,56.134562
E15 3QN,0.017498,51.537939
WS14 9TJ,-1.774157,52.659301
G51 3JH,-4.317961,55.854772
B98 9PJ,-1.897502,52.312636
GU11 2BG,-0.746716,51.260699
BA12 0BS,-2.166699,51.206511
PH8 0JR,-3.601803,56.561455
SP118HT,-1.520533,51.206314
E1W 1UQ,-0.070597,51.505483
EH7 4HU,-3.192219,55.962417
OX13 6HW,-1.303155,51.690324
PE30 5LJ,0.390194,52.740856
DD1 5HG,-2.981846,56.458898
SP11 8HL,-1.51253651079734,51.2276540307309
G70 5TR,-3.994464,55.94682
BS5 0GB,-2.568151,51.459817
TD1 3SG,-2.768364,55.60449
N14 4PU,-0.141474,51.640713
GU11 2LB,-0.754229,51.26391
PO10 8DH,-0.92387,50.820679
IV53 8UT,-5.566785,57.341408
PR4 3JQ,-2.937658,53.820878
SP40JQ,-1.700254,51.135111
PO6 2SR,-1.064899,50.83702
CT15 5NA,1.3435,51.133175
DN21 2NA,-0.77265,53.398879
LN1 1YZ,-0.544371,53.231843
NG19 7BH,-1.204905,53.151114
PE25 3PA,0.333548,53.143607
SP4 9LS,-1.76539131027857,51.1657060874159
SN13 9TU,-2.190509,51.418815
G81 2NR,-4.413888,55.906149
BH1 4NQ,-1.842631,50.732368
FY5 3BD,-3.026238,53.871971
TR8 4HP,-5.000044,50.439657
G2 8DQ,-4.260729,55.857864
PL1 4RW,-4.181058,50.371354
NR19 1DX,0.93013305446294,52.6752301437214
